coach_id,canonical_name,normalized_name
coach-matt-rhule,Matt Rhule,matt-rhule
coach-mel-tucker,Mel Tucker,mel-tucker
coach-mick-lombardi,Mick Lombardi,mick-lombardi
coach-mike-bajakian,Mike Bajakian,mike-bajakian
coach-mike-groh,Mike Groh,mike-groh
coach-mike-johnson,Mike Johnson,mike-johnson
coach-mike-kafka,Mike Kafka,mike-kafka
coach-mike-lafleur,Mike LaFleur,mike-lafleur
coach-mike-macdonald,Mike Macdonald,mike-macdonald
coach-mike-martz,Mike Martz,mike-martz
coach-mike-mccarthy,Mike McCarthy,mike-mccarthy
coach-mike-mccoy,Mike McCoy,mike-mccoy
coach-mike-mcdaniel,Mike McDaniel,mike-mcdaniel
coach-mike-miller,Mike Miller,mike-miller
coach-mike-mularkey,Mike Mularkey,mike-mularkey
coach-mike-munchak,Mike Munchak,mike-munchak
coach-mike-neu,Mike Neu,mike-neu
coach-mike-pettine,Mike Pettine,mike-pettine
coach-mike-shanahan,Mike Shanahan,mike-shanahan
coach-mike-sherman,Mike Sherman,mike-sherman
coach-mike-shula,Mike Shula,mike-shula
coach-mike-singletary,Mike Singletary,mike-singletary
coach-mike-smith,Mike Smith,mike-smith
coach-mike-sullivan,Mike Sullivan,mike-sullivan
coach-mike-tice,Mike Tice,mike-tice
coach-mike-tomlin,Mike Tomlin,mike-tomlin
coach-mike-vrabel,Mike Vrabel,mike-vrabel
coach-mike-zimmer,Mike Zimmer,mike-zimmer
coach-nathaniel-hackett,Nathaniel Hackett,nathaniel-hackett
coach-nick-caley,Nick Caley,nick-caley
coach-nick-holz,Nick Holz,nick-holz
coach-nick-sirianni,Nick Sirianni,nick-sirianni
coach-norv-turner,Norv Turner,norv-turner
coach-pat-shurmur,Pat Shurmur,pat-shurmur
coach-paul-hackett,Paul Hackett,paul-hackett
coach-pep-hamilton,Pep Hamilton,pep-hamilton
coach-pete-carmichael,Pete Carmichael,pete-carmichael
coach-pete-carmichael-jr,Pete Carmichael Jr,pete-carmichael-jr
coach-pete-carroll,Pete Carroll,pete-carroll
coach-press-taylor,Press Taylor,press-taylor
coach-raheem-morris,Raheem Morris,raheem-morris
coach-randy-fichtner,Randy Fichtner,randy-fichtner
coach-rex-ryan,Rex Ryan,rex-ryan
coach-rich-bisaccia,Rich Bisaccia,rich-bisaccia
coach-rich-scangarello,Rich Scangarello,rich-scangarello
coach-rick-dennison,Rick Dennison,rick-dennison
coach-rip-scherer,Rip Scherer,rip-scherer
coach-rob-boras,Rob Boras,rob-boras
coach-rob-calabrese,Rob Calabrese,rob-calabrese
coach-rob-chudzinski,Rob Chudzinski,rob-chudzinski
coach-robby-brown,Robby Brown,robby-brown
coach-robert-saleh,Robert Saleh,robert-saleh
coach-romeo-crennel,Romeo Crennel,romeo-crennel
coach-ron-rivera,Ron Rivera,ron-rivera
coach-ron-turner,Ron Turner,ron-turner
coach-ronald-curry,Ronald Curry,ronald-curry
coach-ryan-day,Ryan Day,ryan-day
coach-ryan-grubb,Ryan Grubb,ryan-grubb
coach-ryan-lindley,Ryan Lindley,ryan-lindley
coach-scot-loeffler,Scot Loeffler,scot-loeffler
coach-scott-linehan,Scott Linehan,scott-linehan
coach-scott-milanovich,Scott Milanovich,scott-milanovich
coach-scott-tolzien,Scott Tolzien,scott-tolzien
coach-scott-turner,Scott Turner,scott-turner
coach-sean-mannion,Sean Mannion,sean-mannion
coach-sean-mcdermott,Sean McDermott,sean-mcdermott
coach-sean-mcvay,Sean McVay,sean-mcvay
coach-sean-payton,Sean Payton,sean-payton
coach-sean-ryan,Sean Ryan,sean-ryan
coach-shane-day,Shane Day,shane-day
coach-shane-steichen,Shane Steichen,shane-steichen
coach-shane-waldron,Shane Waldron,shane-waldron
coach-shea-tierney,Shea Tierney,shea-tierney
coach-spencer-whipple,Spencer Whipple,spencer-whipple
coach-steve-logan,Steve Logan,steve-logan
coach-steve-sarkisian,Steve Sarkisian,steve-sarkisian
coach-steve-shimko,Steve Shimko,steve-shimko
coach-steve-spagnuolo,Steve Spagnuolo,steve-spagnuolo
coach-steve-wilks,Steve Wilks,steve-wilks
coach-t-c-mccartney,T.C. McCartney,t-c-mccartney
coach-t-j-yates,T.J. Yates,t-j-yates
coach-tanner-engstrand,Tanner Engstrand,tanner-engstrand
coach-tavita-pritchard,Tavita Pritchard,tavita-pritchard
coach-tee-martin,Tee Martin,tee-martin
coach-terry-robiskie,Terry Robiskie,terry-robiskie
coach-thaddeus-lewis,Thaddeus Lewis,thaddeus-lewis
coach-thomas-brown,Thomas Brown,thomas-brown
coach-tim-kelly,Tim Kelly,tim-kelly
coach-tim-rattay,Tim Rattay,tim-rattay
coach-todd-bowles,Todd Bowles,todd-bowles
coach-todd-downing,Todd Downing,todd-downing
coach-todd-haley,Todd Haley,todd-haley
coach-todd-monken,Todd Monken,todd-monken
coach-tom-arth,Tom Arth,tom-arth
coach-tom-cable,Tom Cable,tom-cable
coach-tom-clements,Tom Clements,tom-clements
coach-tom-coughlin,Tom Coughlin,tom-coughlin
coach-tommy-rees,Tommy Rees,tommy-rees
coach-tony-sparano,Tony Sparano,tony-sparano
coach-urban-meyer,Urban Meyer,urban-meyer
coach-vance-joseph,Vance Joseph,vance-joseph
coach-vic-fangio,Vic Fangio,vic-fangio
coach-wade-phillips,Wade Phillips,wade-phillips
coach-wade-wilson,Wade Wilson,wade-wilson
coach-wes-phillips,Wes Phillips,wes-phillips
coach-will-harriger,Will Harriger,will-harriger
coach-zac-robinson,Zac Robinson,zac-robinson
coach-zac-taylor,Zac Taylor,zac-taylor
